FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN
Form18,Option2,加入しない,Do not become member,,Nicht Mitglied werden
Form18,Option1,加入する,Become member,,Mitglied werden
Form18,Label1,費用 月々3万円,"Monthly costs: 30,000 Yen",,Monatliche Kosten: 30.000 Yen
Form18,Command2,決定,Confirm,,Bestätigen
Form18,Command1,キャンセル,Cancel,,Abbrechen
Form18,Label5,すべての保険費用を合計すると月々円かかります。,Total costs per month:,,Monatliche Kosten insgesamt:
Form18,Label3,どの保険に入りますか,Current plan,,Momentaner Plan
Form19,Form19,耐震工事,Seismic Retrofitting,,seismische Nachrüstung
Form19,Option2,ふつうに,Ordinarily,,Gewöhnlich
Form19,Option1,すこし,A little bit,,Ein bisschen
Form19,Frame2,費用計算,Calculate costs,,Kosten berechnen
Form19,Label1,円,Yen,,Yen
Form19,Label1,円,Yen,,Yen
Form19,Label1,円,Yen,,Yen
Form19,Label1,残金,Balance:,,Guthaben
Form19,Label1,掃除費用,Cleaning fee,,Reinungskosten
Form19,Label1,現在資金,Current funding,,aktuelle Finanzierung
Form19,Command4,掃除する,Clean up,,Aufräumen
Form19,Command3,キャンセル,Cancel,,Abbrechen
Form19,Label2,掃除方法選択,Cleaning method,,Aufräummethode
Form19,Label2,掃除を行います,Perform cleaning,,Reinigen
Form19,Frame3,現在耐震度,Current Seismic Resistance ,,Momentaner seismischer Widerstand
Form19,Label1,耐震度,Seismic Resistance ,,seismischer Widerstand
Form19,Command1,キャンセル,Cancel,,Abbrechen
Form19,Command2,工事する,Start construction,,Baustelle starten
Form19,Frame1,費用計算,Calculate costs,,Kosten berechnen
Form19,Label1,現在資金,Available funds,,Verfügbare Geldmittel
Form19,Label1,工事費用,Construction costs,,Baustellkosten
Form19,Label1,残金,Renovation costs,,Renovierungskosten
Form19,Label,円,Yen,,Yen
Form19,Label,円,Yen,,Yen
Form19,Label,円,Yen,,Yen
Form19,Label3,耐震工事を行います,Seismic Retrofitting,,seismische Nachrüstung
Form20,Form20,備品情報,Equipment Info,,Ausrüstungsinfo
Form20,Command3,燃やす,Burn,,Brennen
Form20,Command1,撤去,Remove,,Entfernen
Form20,Command2,閉じる,Close,,Schließen
Form20,Label1,利用回数,Number of times used,,x-mal benutzt
Form20,Label1,最大収録,Maximum Recording,,Maximale Aufnahme
Form20,Label3,備品の情報です,Equipment Info,,Ausrüstungsinfo
Form21,Form21,書籍を入荷,Receive Books,,Bücher erhalten
Form21,Command2,書籍TOP10,Top 10 Books,,Top 10 Bücher
Form21,Frame2,すべて売れたと,When all items are sold,,Wenn alle Artikel verkauft sind
Form21,Label5,仕入値,Purchase price,,Kaufpreis
Form21,label5,売り値,Sale price,,Verkaufspreis
Form21,label5,利益,Profit,,Profit
Form21,label6,0円,0 Yen,,Yen
Form21,label6,0円,0 Yen,,Yen
Form21,label6,0円,0 Yen,,Yen
Form21,command3,キャンセル,Cancel,,Abbrechen
Form21,frame1,売り切れたら,When sold out,,Wenn ausverkauft
Form21,option2,売り切れてもそのまま,Do not restock,,Nicht auffüllen
Form21,option1,売り切れたら再度入荷する,Restock,,Auffüllen
Form21,command1,入荷する,Receive Books,,Bücher erhalten
Form21,Label5,すべての書籍の入荷数を変更,Change number of books,,Anzahl der Bücher verändern
Form21,Label5,資金,Funding,,Finanzierung
Form21,Label5,在庫数,Inventory count,,Inventarplatz
Form21,Label5,入荷数,Number of incoming books,,Anzahl der ankommenden Bücher
Form21,Label5,メモ,Memo,,Memo
Form21,Label5,書籍名,Book title,,Buchtitel
Form21,Label2,入荷数,Qty in Stock,,Menge auf Lager
Form21,Label2,売り値,Selling Price,,Verkaufspreis
Form21,Label10,仕入値,Purchase price,,Kaufpreis
Form21,Label2,ジャンル,Genre,,Genre
Form21,Label2,メモ,Memo,,Memo
Form21,Label2,書籍名,Book title,,Buchtitel
Form21,Label2,入荷決定してから 3日後に本が届きます>>,Book will arrive in 3 days,,Buch wird in 3 Tagen ankommen
Form21,label6,0冊,0 books,,0 Bücher
Form22,Form22,全日本 本屋コンテスト,National Bookstore Competition,,Nationaler Bücherladenwettbewerb
Form22,Command1,終了,The end,,Das Ende
Form22,Label2,備品設備賞,Furnishing Award,,Möbilierungsauszeichnung
Form22,Label3,97年上半期コンテスト,First half of 1997 Contest,,Erste Hälfte des 1997'er Wettbewerbs
Form22,Label2,粗悪賞,Worst Award,,Schlechteste Auszeichnung
Form22,Label2,努力賞,Good Effort Award,,Hoher-Aufwand-Auszeichnung
Form22,Label2,本売上賞,Best Sales Award,,Höchste-Verkaufszahlen-Auszeichnung
Form22,Label2,清掃賞,Cleanliness Award,,Sauberkeitsauszeichnung
Form22,Label2,グランプリ,Grand Prix,,Grand Prix
Form17,Form17,雑誌の在庫,Magazine Inventory,,Zeitschrift-Inventar
Form17,Label1,利益,Profit,,Profit
Form17,Label1,雑誌名,Magazine Name,,Zeitschrift-Name
Form17,Label1,在庫数,Inventory count,,Inventarzahl
Form17,Label1,前回売上,Previous Sales,,Vorhergehende Verkaufszahlen
Form23,Form23,書籍の在庫,Book stock,,Bücherlager
Form23,Label1,書籍名,Book title,,Buchtitel
Form23,Label1,利益,Profit,,Profit
Form23,Label1,在庫,Inventory count,,Inventarzahl
Form23,Label1,売数,Number of sales,,Anzahl der Verkäufe
Form23,Label1,次回入荷予定,Next shipment,,Nächster Versand
Form24,Form24,銀行,Bank,,Bank
Form24,Frame1,借金,Loan,,Darlehen
Form24,Label1,日,Day,,Tag
Form24,Label1,月,Month,,Monat
Form24,Label1,年,Year,,Jahr
Form24,Label1,日,Day,,Tag
Form24,Label1,月,Month,,Monat
Form24,Label1,年,Year,,Jahr
Form24,Label6,返済日,Payment Due,,Zahlung fällig am
Form24,Label5,金額,Amount of $,,Anzahl der $
Form24,Command2,借金する,Take A Loan,,Ein Darlehen nehmen
Form24,Command1,帰る,Go Back,,Zurück
Form24,Label5,資金,Available funds,,Verfügbare Geldmittel
Form24,Label3,銀行です ,Bank,,Bank
Form25,Form25,借金,Debt,,Schulden
Form25,Command2,借りる,Borrow,,Leihen
Form25,Command1,やめる,Cancel,,Abbrechen
Form25,Label1,年,Year,,Jahr
Form25,Label1,月,Month,,Monat
Form25,Label5,返済日,Due Date,,Fälligkeitsdatum
Form25,Label5,返済金額 (利子20%),Amount Due (20% Interest),,fälliger Betrag (20% Zinsen)
Form25,Label5,借金金額,Amount Borrowed,,Anzahl geliehen
Form25,Label5,借金可能金額,Amount Borrowable,,Anzahl leihbarer Mittel
Form25,Label5,資金,Funding,,Finanzierung
Form25,Label3,いくら借りますか ,How much to borrow?,,Wie viel leihen?
Form26,Form26,借金返済,Debt Repayment,,Schuldenrückzahlung
Form26,Command1,閉じる,Close,,Schließen
Form26,Label1,日 に借金した,Borrowed on,,Geliehen am
Form26,Label1,月,Month,,Monat
Form26,Label1,年,Year,,Jahr
Form26,Label1,借金の返済期限がきました。,Payment past due!,,Zahlung überfallig!
Form26,Label3,借金の返済をします,Repay the debt,,Zahle die Schulden
Form27,Form27,今日は,Today is,,Heute ist
Form27,Command1,閉じる,Close,,Schließen
Form27,Label3,「→」がついている雑誌を入荷しています。,Magazines with are in stock,,Zeitschriften auf Lager
Form27,Label1,年,Year,,Jahr
Form27,Label1,月,Month,,Monat
Form27,Label1,日,Day,,Tag
Form27,Label2,日曜日,Sunday,,Sonntag
Form28,Form28,スピード変更,Change Speed,,Geschwindigkeit ändern
Form28,Frame1,速度,Speed,,Geschwindigkeit
Form28,Command1,決定,OK,,OK
Form28,Label1,速度,Speed,,Geschwindigkeit
Form28,Label3,スピードを変更します,The speed will be adjusted.,,Die Geschwindigkeit wird angepasst.
Form29,Form29,書籍の売り数推移,Book Sales Trends,,Bücherverkauf-Trends
Form29,Option5,百万,Million,,Millionen
Form29,Option6,1千万,10 Million,,10 Millionen
Form29,Option3,毎日,Daily,,Täglich
Form29,Option2,毎月,Monthly,,Monatlich
Form29,Option1,毎年,Yearly,,Jährlich
Form29,Label1,2百冊,200 books,,200 Bücher
Form29,Label1,百冊,hundred books,,Hundert Bücher
Form29,Label1,0冊,0 books,,0 Bücher
Form30,Form30,お店の利益推移,Store Profit Trends,,Ladenprofit-Trends
Form30,Option4,10万,100k,,100k
Form30,Option6,1千万,10 million,,10 Millionen
Form30,Option5,百万,million,,Millionen
Form30,Option3,毎日,Every day,,Jeden Tag
Form30,Option2,毎月,Every month,,Jeden Monat
Form30,Label1,百冊,Hundred books,,Hundert Bücher
Form30,Label1,0円,0 Yen,,0 Yen
Form30,Label1,百冊,100 books,,100 Bücher
Form30,Label1,2百冊,200 books,,200 Bücher
Form30,Option1,毎年,Every year,,Jedes Jahr
Form31,Form31,レジ情報,Register Info,,Registrierungs-Info
Form31,Command2,閉じる,Close,,Schließen
Form31,Command1,撤去,Remove,,Löschen
Form31,Label1,レジ速度,Cash register speed,,Kassengeschwindigkeit
Form31,Label1,利用回数,Number of times used,,x-mal benutzt
Form31,Label3,レジの情報です,Register details,,Registrierungsdetails
Form32,Form32,地震です,It's an earthquake!,,Ein Erdbeben!
Form32,Label1,直下型大地震です,The earthquake is right below us.,,Das Erdbeben ist unter uns.
Form32,Label1,地震です,It' an earthquake,,Ein Erdbeben!
Form32,Command1,次へ >>,Next,,Nächstes
Form33,Form33,通知,Notifications,,Benachrichtigungen
Form33,Command1,次へ >>,Next,,Nächstes
Form33,Label,全日本、本屋コンテストの時期がきました。,It's time for the National Book Store Contest!,,Es ist Zeit für den nationalen Bücherladenwettbewerb!
Form34,Form34,営業停止,Close Shop,,Laden schließen
Form34,Label1,営業停止,Close Shop,,Laden schließen
Form34,Command1,閉じる,Close,,Schließen
Form34,Label2,ゲームオーバー,Game Over,,Game Over
Form35,Form35,強盗が来ました,A thief came,,Ein Dieb kam
Form35,Command2,払わない,Don't pay,,Nicht zahlen
Form35,Command1,お金を払う,Pay,,Zahlen
Form35,Label,強盗が来ました,A thief came,,Ein Dieb kam
Form36,Form36,店員の設定,Clerk settings,,Verkäufer-Einstellungen
Form36,Command3,給料変更,Change salary,,Gehalt ändern
Form36,Frame1,掃除について,Cleaning Conditions,,Säuberungsbedingungen
Form36,Option5,よごれが20以上になったら掃除する,Clean when filth is is 20 or more,,Bei 20 oder mehr Dreck säubern
Form36,Option4,よごれが40以上になったら掃除する,Clean when filth is is 40 or more,,Bei 40 oder mehr Dreck säubern
Form36,Option3,よごれが60以上になったら掃除する,Clean when filth is is 60 or more,,Bei 60 oder mehr Dreck säubern
Form36,Option2,よごれが80以上になったら掃除する,Clean when filth is is 80 or more,,Bei 80 oder mehr Dreck säubern
Form36,Option1,掃除をしない,Do not clean,,Nicht säubern
Form36,Command2,やめる,Stop,,Stop
Form36,Frame2,掃除方法選択,Choose cleaning method,,Wähle Reinigungsmethode
Form36,Option8,たくさん,Clean a lot,,Viel säubern
Form36,Option7,ふつうに,Clean a normal amount,,Normal säubern
Form36,Option6,すこし,Clean only a little,,Wenig säubern
Form36,Command1,決定,OK,,OK
Form36,Label1,能力,Ability,,Fähigkeit
Form36,Label1,気力,Willpower,,Willenskraft
Form36,Label1,給料,Salary,,Gehalt
Form36,Label1,年齢,Age,,Alter
Form36,Label1,名前,Name,,Name
Form36,Label1,能力,Ability,,Fähigkeit
Form36,Label1,気力,Willpower,,Willenskraft
Form36,Label1,給料,Salary,,Gehalt
Form36,Label1,年齢,Age,,Alter
Form36,Label1,名前,Name,,Name
Form36,Label3,店員の設定です ,Employee Options,,Mitarbeiter-Optionen
Form37,Form37,1000人突破,Over 1000 People,,Über 1000 Leute
Form37,Command1,閉じる,Close,,Schließen
Form37,Label1,"お店に来たお客さんが1,000人を突破しました。","More than 1,000 customers have visited the store!",,"Mehr als 1000 Leute haben den Laden besucht!"
Form38,Form38,給料変更,Change salary,,Gehalt ändern
Form38,Command2,やめる,Abort,,Abbrechen
Form38,Command1,決定,OK,,OK
Form38,Label1,21万0000円,"210,000 YEN",,210.000 Yen
Form38,Label1,給料,Salary,,Gehalt
Form38,Label1,能力,Ability,,Fähigkeit
Form38,Label1,年齢,Age,,Alter
Form38,Label1,12歳,12 years old,,12 Jahre alt
Form38,Label1,名前,Name,,Name
Form38,Label1,気力,Energy,,Energie
Form38,Label3,給料を変更します,Change salary,,Gehalt ändern
Form39,Form39,お店の宣伝,Store Promotion,,Ladenwerbung
Form39,Frame1,宣伝するメディア,Advertising,,Werbung
Form39,Option6,ダイレクトメール,Direct Mail,,Postwerbung
Form39,Option5,映画の前に流す,Show Ad in Theaters,,Werbung in Kinos
Form39,Option4,テレビコマーシャル,TV Commercial,,TV-Werbung
Form39,Option3,ホームページ制作,Online Ads,,Online-Werbung
Form39,Option2,新聞に載せる,Place Ad in Newspaper,,Werbung in Zeitungen
Form39,Option1,ポスターを貼る,Put Up Poster,,Poster aufstellen
Form39,Command2,やめる,Cancel,,Abbrechen
Form39,Command1,決定,OK,,OK
Form39,Label3,お店の宣伝を行います ,Promote Shop,,Den Laden werben
Form44,Form44,ダイレクトメール,Direct Mail,,Postwerbung
Form44,Command1,やめる,Stop,,Stop
Form44,Command2,決定,OK,,OK
Form44,Frame1,送る数,Number to send,,Zu sendende Zahl
Form44,Option1,通,No.,,Nummer
Form44,Label5,残金,Balance,,Guthaben
Form44,Label5,費用,Expenses,,Ausgaben
Form44,Label5,資金,Funds,,Geldmittel
Form44,Label3,ダイレクトメールを送ります ,Send direct mail,,Direktsendung senden
Form41,Form41,お店の詳細情報,Shop's Detailed Info,,Detailierte Ladeninfo
Form41,Frame1,パラメータ,Parameters,,Parameter
Form41,Label1,人気,Popularity,,Popularität
Form41,Label1,耐震度,Seismic Resistance,,seismischer Widerstand
Form41,Label1,よごれ,Filthiness,,Schmutz
Form41,Label1,知名度,Reputation,,Ruf
Form41,Label1,お店規模,Store Size,,Ladengröße
Form41,Label1,時,Hour,,Stunde
Form41,Label2,日曜日,Sunday,,Sonntag
Form41,Label1,日,Day,,Tag
Form41,Label1,月,Month,,Monat
Form41,Label1,年,Year,,Jahr
Form41,Label1,星の数,Rating,,Bewertung
Form41,Label1,資金,Funds,,Geldmittel
Form41,Label1,本屋の名前,Bookstore Name,,Bücherladen-Name
Form43,Form43,宣伝映画製作,Promotional Film Production,,Werbefilmproduktion
Form43,Frame1,製作者,Producer,,Produzent
Form43,Option3,有名映画監督に頼む,Hire Famous Director,,Berühmten Regisseur anheuern
Form43,Option2,CM制作会社に頼む,Ask An Advertising Company,,Eine Werbefirma fragen
Form43,Option1,自主制作する,Produce Independently ,,Unabhängig produzieren
Form43,Command2,決定,OK,,OK
Form43,Command1,やめる,Cancel,,Abbrechen
Form43,Label5,資金,Funds,,Geldmittel
Form43,Label5,費用,Expenses,,Ausgaben
Form43,Label5,残金,Balance,,Guthaben
Form43,Label3,宣伝映画を制作します ,Make Promotional Film,,Einen Werbefilm drehen
Form42,Form42,テレビコマーシャル,Television Commerical ,,Fernsehwerbung
Form42,Frame1,製作者,Producer,,Produzent
Form42,Option3,有名映画監督に頼む,Hire Famous Director,,Berühmten Regisseur anheuern
Form42,Option2,CM制作会社に頼む,Ask An Advertising Company,,Eine Werbefirma fragen
Form42,Option1,自主制作する,Produce Independently ,,Unabhängig produzieren
Form42,Command2,決定,OK,,OK
Form42,Command1,やめる,Cancel,,Abbrechen
Form42,Label5,資金,Funds,,Geldmittel
Form42,Label5,費用,Expenses,,Ausgaben
Form42,Label5,残金,Balance,,Guthaben
Form42,Label3,テレビコマーシャル制作  ,Create Television Commercial,,Fernsehwerbung erstellen
Form40,Form40,ポスターを貼る,Put Up Poster,,Poster aufstellen
Form40,Command1,やめる,Cancel,,Abbrechen
Form40,Command2,決定,OK,,OK
Form40,Frame1,貼る枚数,Qty to put up:,,Wieviele aufstellen:
Form40,Option1,枚,Posters,,Poster
Form40,Label5,残金,Balance,,Guthaben
Form40,Label5,費用,Expenses,,Ausgaben
Form40,Label5,資金,Funds,,Geldmittel
Form40,Label3,ポスターを貼ります  ,Put Up Posters,,Poster aufstellen
Form45,Form45,お店のサービス,Manager's Special,,Manager-Spezial
Form45,Frame3,ポスター取り扱い,Poster Management,,Poster-Management
Form45,Option5,取り扱う,Handle,,Bearbeiten
Form45,Option6,取り扱わない,Do not handle,,Nicht bearbeiten
Form45,Frame2,宅配便受付,Accept Package Delivery,,Paketlieferung akzeptieren
Form45,Option4,受付しない,Do Not Accept,,Nicht akzeptieren
Form45,Option3,受付する,Accept Package Delivery,,Paketlieferung akzeptieren
Form45,Frame1,写真現像受付,Photo Development Desk,,Fotoentwicklung
Form45,Option2,受付しない,Not accepting reservations,,Reservierungen werden nicht akzeptiert
Form45,Option1,受付する,Accepting reservations,,Reservierungen akzeptiert
Form45,Frame4,図書券の取り扱い,Handle Coupons,,Coupons bearbeiten
Form45,Option8,取り扱わない,Do not handle,,Nicht bearbeiten
Form45,Option7,取り扱う,Handle,,Bearbeiten
Form45,Label1,ポスター1枚につき1000円の利益です。,1000 Yen Profit Per Poster / Month,,1000 Yen Profit je Poster / Monat
Form45,Label1,費用 月 2万円,2000 Yen Profit Per Poster / Month,,2000 Yen Profit je Poster / Monat
Form45,Label1,費用 月 2万円,Costs 20000 Yen Per Month,,Kostet 20000 Yen pro Monat
Form45,Label1,配達物1つにつき1000円の利益です。,10000 yen profit per delivery,,10000 Yen Profit je Lieferung
Form45,Label1,費用 月 2万円,Cost 20000 Yen per month,,Kostet 20000 Yen pro Monat
Form45,LAbel1,フィルム1本につき800円の利益です。,800 yen profit per film,,800 Yen Profit je Film
Form45,Label1,費用 月 2万円,Cost 20000 Yen per month,,Kostet 20000 Yen pro Monat
Form45,Label1,図書券 1枚につき 500円の利益です。,500 yen profit per book voucher,,500 Yen Profit je Buchgutschein
Form45,Command2,キャンセル,Cancel,,Abbrechen
Form45,Command1,決定,OK,,OK
Form45,Label3,お店のサービスです  ,Store's Services,,Ladenservices
Form46,Form46,店員から,Store Clerk,,Ladenverkäufer
Form47,Form47,被害報告,Damage Report,,Schadensbericht
Form47,Command1,閉じる,Close,,Schließen
Form47,Label,被害報告です ,Damage Report,,Schadensbericht
Form48,Form48,業界新聞,Industry Newspaper,,Industriezeitung
Form48,Label8,8月55日,August 55th,,55. August
Form48,Label6,最近の業界,Right now in the business world,,Jetzt in der Businesswelt
Form48,Label5,今月のお店,Store of the month,,Laden des Monats
Form48,Label4,雑誌TOP10,Top 10 Magazines,,Top 10 Zeitschriften
Form48,Label2,書籍TOP10,Top 10 Books,,Top 10 Bücher
Form48,Command1,閉じる,Close,,Schließen
Form48,Label1,読みたい見出しを押してください,Click the headlines you want to read,,"Klicke die Schlagzeilen an, die du lesen möchtest"
Form48,Label3,業界新聞です,This is the Business World News,,Das sind die Business World News
