FORM NUM,LABEL,JAPANESE,ENGLISH (HUMAN),ENGLISH (MACHINE),GERMAN,ROMANIAN
Form15,Label1,今月売った本の数,Books sold this month,,Bücher in diesem Monat verkauft,C?r?i v�ndute �n aceast? lun?
Form15,Label1,でした。,the red,,das Rot,ro?ul
Form15,Label1,赤字,was in,,war in,era �n
Form15,Label1,今月は,This month,,Dieser Monat,Aceast? lun?
Form18,Form18,保険加入,Purchase Insurance,,Versicherung kaufen,Cump?rare Asigurare
Form18,Frame3,被害保険,Injury insurance,,Krankenversicherung,Asigurare medical?
Form18,Option5,加入する,Become member,,Mitglied werden,Devino membru
Form18,Option6,加入しない,Do not become member,,Nicht Mitglied werden,Nu deveni membru
Form18,Label4,費用 月々5万円,"Monthly costs: 50,000 Yen",,"Monatliche Kosten: 50,000 Yen",Cost lunar: 50.000 de Yen
Form18,Frame2,地震保険,Earthquake Insurance,,Erdbebenversicherung,Asigurare Cutremur
Form18,Option3,加入する,Become member,,Mitglied werden,Devino membru
Form18,Option4,加入しない,Do not become member,,Nicht Mitglied werden,Nu deveni membru
Form18,Label2,費用 月々3万円,"Monthly costs: 30,000 Yen",,"Monatliche Kosten: 30,000 Yen",Cost lunar: 30.000 de Yen
Form18,Frame1,火災保険,Fire / Home Insurance,,Hausversicherung,Asigurare Foc / Cas?
Form18,Option2,加入しない,Do not become member,,Nicht Mitglied werden,Nu deveni membru
Form18,Option1,加入する,Become member,,Mitglied werden,Devino membru
Form18,Label1,費用 月々3万円,"Monthly costs: 30,000 Yen",,Monatliche Kosten: 30.000 Yen,Cost lunar: 30.000 de Yen
Form18,Command2,決定,Confirm,,Bestätigen,Confirm?
Form18,Command1,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form18,Label5,すべての保険費用を合計すると月々円かかります。,Total costs per month:,,Monatliche Kosten insgesamt:,Cost total pe lun?:
Form18,Label3,どの保険に入りますか,Current plan,,Momentaner Plan,Plan curent
Form19,Form19,耐震工事,Seismic Retrofitting,,seismische Nachrüstung,Modernizare seismic?
Form19,Option2,ふつうに,Ordinarily,,Gewöhnlich,Ordinar
Form19,Option1,すこし,A little bit,,Ein bisschen,Pu?in
Form19,Frame2,費用計算,Calculate costs,,Kosten berechnen,Calculeaz? costuri
Form19,Label1,円,Yen,,Yen,Yen
Form19,Label1,円,Yen,,Yen,Yen
Form19,Label1,円,Yen,,Yen,Yen
Form19,Label1,残金,Balance:,,Guthaben,Balan??:
Form19,Label1,掃除費用,Cleaning fee,,Reinungskosten,Tax? cur??enie
Form19,Label1,現在資金,Current funding,,aktuelle Finanzierung,Finan?are curent?
Form19,Command4,掃除する,Clean up,,Aufräumen,Cur???
Form19,Command3,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form19,Label2,掃除方法選択,Cleaning method,,Aufräummethode,Metod? de cur??are
Form19,Label2,掃除を行います,Perform cleaning,,Reinigen,Execut? cur??ate
Form19,Frame3,現在耐震度,Current Seismic Resistance ,,Momentaner seismischer Widerstand,Rezisten?? Seismic? Curent?
Form19,Label1,耐震度,Seismic Resistance ,,seismischer Widerstand,Rezisten?? Seismic?
Form19,Command1,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form19,Command2,工事する,Start construction,,Baustelle starten,�ncepe construc?ie
Form19,Frame1,費用計算,Calculate costs,,Kosten berechnen,Calculeaz? costuri
Form19,Label1,現在資金,Available funds,,Verfügbare Geldmittel,Finan?are disponibil?
Form19,Label1,工事費用,Construction costs,,Baustellkosten,Costuri construc?ie
Form19,Label1,残金,Renovation costs,,Renovierungskosten,Costuri renovare
Form19,Label,円,Yen,,Yen,Yen
Form19,Label,円,Yen,,Yen,Yen
Form19,Label,円,Yen,,Yen,Yen
Form19,Label3,耐震工事を行います,Seismic Retrofitting,,seismische Nachrüstung,Modernizare Seismic?
Form20,Form20,備品情報,Equipment Info,,Ausrüstungsinfo,Info Echipament
Form20,Command3,燃やす,Burn,,Brennen,Arde
Form20,Command1,撤去,Remove,,Entfernen,�nl?tur?
Form20,Command2,閉じる,Close,,Schließen,�nchide
Form20,Label1,利用回数,Number of times used,,x-mal benutzt,Num?rul de utiliz?ri
Form20,Label1,最大収録,Maximum Recording,,Maximale Aufnahme,�nregistrare Maxim?
Form20,Label3,備品の情報です,Equipment Info,,Ausrüstungsinfo,Info Echipament
Form21,Form21,書籍を入荷,Receive Books,,Bücher erhalten,Prime?te C?r?i
Form21,Command2,書籍TOP10,Top 10 Books,,Top 10 Bücher,Top 10 C?r?i
Form21,Frame2,すべて売れたと,When all items are sold,,Wenn alle Artikel verkauft sind,C�nd toate produsele sunt v�ndute
Form21,Label5,仕入値,Purchase price,,Kaufpreis,Pre? de cump?rare
Form21,label5,売り値,Sale price,,Verkaufspreis,Pre? de v�nzare
Form21,label5,利益,Profit,,Profit,Profit
Form21,label6,0円,0 Yen,,Yen,0 Yen
Form21,label6,0円,0 Yen,,Yen,0 Yen
Form21,label6,0円,0 Yen,,Yen,0 Yen
Form21,command3,キャンセル,Cancel,,Abbrechen,Anuleaz?
Form21,frame1,売り切れたら,When sold out,,Wenn ausverkauft,C�nd v�ndut
Form21,option2,売り切れてもそのまま,Do not restock,,Nicht auffüllen,Nu restoca
Form21,option1,売り切れたら再度入荷する,Restock,,Auffüllen,Restoca
Form21,command1,入荷する,Receive Books,,Bücher erhalten,Prime?te C?r?i
Form21,Label5,すべての書籍の入荷数を変更,Change number of books,,Anzahl der Bücher verändern,Schimb? num?rul de c?r?i
Form21,Label5,資金,Funding,,Finanzierung,Finan?are
Form21,Label5,在庫数,Inventory count,,Inventarplatz,Num?r de inventar
Form21,Label5,入荷数,Number of incoming books,,Anzahl der ankommenden Bücher,Num?r de c?r?i venind
Form21,Label5,メモ,Memo,,Memo,Memo
Form21,Label5,書籍名,Book title,,Buchtitel,Titlul c?r?ii
Form21,Label2,入荷数,Qty in Stock,,Menge auf Lager,Cantitate �n Stoc
Form21,Label2,売り値,Selling Price,,Verkaufspreis,Pre? de V�nzare
Form21,Label10,仕入値,Purchase price,,Kaufpreis,Pre? de cump?rare
Form21,Label2,ジャンル,Genre,,Genre,Gen
Form21,Label2,メモ,Memo,,Memo,Memo
Form21,Label2,書籍名,Book title,,Buchtitel,Titlul c?r?ii
Form21,Label2,入荷決定してから 3日後に本が届きます>>,Book will arrive in 3 days,,Buch wird in 3 Tagen ankommen,Cartea va ajunge �n 3 zile
Form21,label6,0冊,0 books,,0 Bücher,0 c?r?i
Form22,Form22,全日本 本屋コンテスト,National Bookstore Competition,,Nationaler Bücherladenwettbewerb,Competi?ia Na?ional? de Libr?rii
Form22,Command1,終了,The end,,Das Ende,Sf�r?it
Form22,Label2,備品設備賞,Furnishing Award,,Möbilierungsauszeichnung,Premiu de Mobilare
Form22,Label3,97年上半期コンテスト,First half of 1997 Contest,,Erste Hälfte des 1997'er Wettbewerbs,Prima jum?tate a Competi?iei 1997
Form22,Label2,粗悪賞,Worst Award,,Schlechteste Auszeichnung,Cel Mai Prost Premiu
Form22,Label2,努力賞,Good Effort Award,,Hoher-Aufwand-Auszeichnung,Premiul de Efort
Form22,Label2,本売上賞,Best Sales Award,,Höchste-Verkaufszahlen-Auszeichnung,Premiul de Cele Mai Bune V�nz?ri
Form22,Label2,清掃賞,Cleanliness Award,,Sauberkeitsauszeichnung,Premiul de Cur??enie
Form22,Label2,グランプリ,Grand Prix,,Grand Prix,Grand Prix
Form17,Form17,雑誌の在庫,Magazine Inventory,,Zeitschrift-Inventar,Inventar Reviste
Form17,Label1,利益,Profit,,Profit,Profit
Form17,Label1,雑誌名,Magazine Name,,Zeitschrift-Name,Numele Revistei
Form17,Label1,在庫数,Inventory count,,Inventarzahl,Num?r inventar
Form17,Label1,前回売上,Previous Sales,,Vorhergehende Verkaufszahlen,V�nz?ri Anterioare
Form23,Form23,書籍の在庫,Book stock,,Bücherlager,Stoc c?r?i
Form23,Label1,書籍名,Book title,,Buchtitel,Titlul c?r?ii
Form23,Label1,利益,Profit,,Profit,Profit
Form23,Label1,在庫,Inventory count,,Inventarzahl,Num?r inventar
Form23,Label1,売数,Number of sales,,Anzahl der Verkäufe,Num?r de v�nz?ri
Form23,Label1,次回入荷予定,Next shipment,,Nächster Versand,Urm?toarea expediere
Form24,Form24,銀行,Bank,,Bank,Banc?
Form24,Frame1,借金,Loan,,Darlehen,�mprumut
Form24,Label1,日,Day,,Tag,Zi
Form24,Label1,月,Month,,Monat,Lun?
Form24,Label1,年,Year,,Jahr,An
Form24,Label1,日,Day,,Tag,Zi
Form24,Label1,月,Month,,Monat,Lun?
Form24,Label1,年,Year,,Jahr,An
Form24,Label6,返済日,Payment Due,,Zahlung fällig am,Plat? Datorat?
Form24,Label5,金額,Amount of $,,Anzahl der $,Sum? de $
Form24,Command2,借金する,Take A Loan,,Ein Darlehen nehmen,F? un �mprumut
Form24,Command1,帰る,Go Back,,Zurück,�ntoarce-te
Form24,Label5,資金,Available funds,,Verfügbare Geldmittel,Finan?are disponibil?
Form24,Label3,銀行です ,Bank,,Bank,Banc?
Form25,Form25,借金,Debt,,Schulden,Datorie
Form25,Command2,借りる,Borrow,,Leihen,�mprumut?
Form25,Command1,やめる,Cancel,,Abbrechen,Anuleaz?
Form25,Label1,年,Year,,Jahr,An
Form25,Label1,月,Month,,Monat,Lun?
Form25,Label5,返済日,Due Date,,Fälligkeitsdatum,Dat? scadent?
Form25,Label5,返済金額 (利子20%),Amount Due (20% Interest),,fälliger Betrag (20% Zinsen),Plat? Datorat? (20% Dob�nd?)
Form25,Label5,借金金額,Amount Borrowed,,Anzahl geliehen,Sum? �mprumutat?
Form25,Label5,借金可能金額,Amount Borrowable,,Anzahl leihbarer Mittel,Sum? �mprumutabil?
Form25,Label5,資金,Funding,,Finanzierung,Finan?are
Form25,Label3,いくら借りますか ,How much to borrow?,,Wie viel leihen?,C�t de mult �mprumu?i?
Form26,Form26,借金返済,Debt Repayment,,Schuldenrückzahlung,Repl?tire Datorie
Form26,Command1,閉じる,Close,,Schließen,�nchide
Form26,Label1,日 に借金した,Borrowed on,,Geliehen am,�mprumutat pe
Form26,Label1,月,Month,,Monat,Lun?
Form26,Label1,年,Year,,Jahr,An
Form26,Label1,借金の返済期限がきました。,Payment past due!,,Zahlung überfallig!,Plat? Scadent?!
Form26,Label3,借金の返済をします,Repay the debt,,Zahle die Schulden,Repl?te?te datoria
Form27,Form27,今日は,Today is,,Heute ist,Ast?zi este
Form27,Command1,閉じる,Close,,Schließen,�nchide
Form27,Label3,「→」がついている雑誌を入荷しています。,Magazines with are in stock,,Zeitschriften auf Lager,Reviste ce sunt �n stoc
Form27,Label1,年,Year,,Jahr,An
Form27,Label1,月,Month,,Monat,Lun?
Form27,Label1,日,Day,,Tag,Zi
Form27,Label2,日曜日,Sunday,,Sonntag,Duminic?
Form28,Form28,スピード変更,Change Speed,,Geschwindigkeit ändern,Schimb? viteza
Form28,Frame1,速度,Speed,,Geschwindigkeit,Vitez?
Form28,Command1,決定,OK,,OK,OK
Form28,Label1,速度,Speed,,Geschwindigkeit,Vitez?
Form28,Label3,スピードを変更します,The speed will be adjusted.,,Die Geschwindigkeit wird angepasst.,Viteza va fi ajustat?.
Form29,Form29,書籍の売り数推移,Book Sales Trends,,Bücherverkauf-Trends,Trend-uri de V�nz?ri a C?r?ilor
Form29,Option5,百万,Million,,Millionen,Milion
Form29,Option6,1千万,10 Million,,10 Millionen,10 Milioane
Form29,Option3,毎日,Daily,,Täglich,Zilnic
Form29,Option2,毎月,Monthly,,Monatlich,Lunar
Form29,Option1,毎年,Yearly,,Jährlich,Anual
Form29,Label1,2百冊,200 books,,200 Bücher,200 de c?r?i
Form29,Label1,百冊,hundred books,,Hundert Bücher,sute de c?r?i
Form29,Label1,0冊,0 books,,0 Bücher,0 c?r?i
Form30,Form30,お店の利益推移,Store Profit Trends,,Ladenprofit-Trends,Trend-uri de Profit a Libr?riei
Form30,Option4,10万,100k,,100k,100k
Form30,Option6,1千万,10 million,,10 Millionen,10 milioane
Form30,Option5,百万,million,,Millionen,milioane
Form30,Option3,毎日,Every day,,Jeden Tag,�n fiecare zi
Form30,Option2,毎月,Every month,,Jeden Monat,�n fiecare lun?
Form30,Label1,百冊,Hundred books,,Hundert Bücher,sute de c?r?i
Form30,Label1,0円,0 Yen,,0 Yen,0 Yen
Form30,Label1,百冊,100 books,,100 Bücher,100 de c?r?i
Form30,Label1,2百冊,200 books,,200 Bücher,200 de c?r?i
Form30,Option1,毎年,Every year,,Jedes Jahr,�n fiecare an
Form31,Form31,レジ情報,Register Info,,Registrierungs-Info,Info Registru
Form31,Command2,閉じる,Close,,Schließen,�nchide
Form31,Command1,撤去,Remove,,Löschen,Elimin?
Form31,Label1,レジ速度,Cash register speed,,Kassengeschwindigkeit,Vitez? cas? de marcat
Form31,Label1,利用回数,Number of times used,,x-mal benutzt,Num?rul de utiliz?ri
Form31,Label3,レジの情報です,Register details,,Registrierungsdetails,Detalii registru
Form32,Form32,地震です,It's an earthquake!,,Ein Erdbeben!,Este un cutremur!
Form32,Label1,直下型大地震です,The earthquake is right below us.,,Das Erdbeben ist unter uns.,Cutremurul este fix sub noi.
Form32,Label1,地震です,It' an earthquake,,Ein Erdbeben!,Este un cutremur
Form32,Command1,次へ >>,Next,,Nächstes,Urm?torul
Form33,Form33,通知,Notifications,,Benachrichtigungen,Notific?ri
Form33,Command1,次へ >>,Next,,Nächstes,Urm?torul
Form33,Label,全日本、本屋コンテストの時期がきました。,It's time for the National Book Store Contest!,,Es ist Zeit für den nationalen Bücherladenwettbewerb!,Este timpul pentru Competi?ia Na?ional? de Libr?rii!
Form34,Form34,営業停止,Close Shop,,Laden schließen,�nchide Libr?rie
Form34,Label1,営業停止,Close Shop,,Laden schließen,�nchide Libr?rie
Form34,Command1,閉じる,Close,,Schließen,�nchide
Form34,Label2,ゲームオーバー,Game Over,,Game Over,Game Over
Form35,Form35,強盗が来ました,A thief came,,Ein Dieb kam,Un ho? a venit
Form35,Command2,払わない,Don't pay,,Nicht zahlen,Nu pl?ti
Form35,Command1,お金を払う,Pay,,Zahlen,Pl?te?te
Form35,Label,強盗が来ました,A thief came,,Ein Dieb kam,Un ho? a venit
Form36,Form36,店員の設定,Clerk settings,,Verkäufer-Einstellungen,Set?ri casier
Form36,Command3,給料変更,Change salary,,Gehalt ändern,Schimb? salariu
Form36,Frame1,掃除について,Cleaning Conditions,,Säuberungsbedingungen,Condi?ii de Cur??at
Form36,Option5,よごれが20以上になったら掃除する,Clean when filth is is 20 or more,,Bei 20 oder mehr Dreck säubern,Cur??? c�nd murd?ria este 20 sau mai mult
Form36,Option4,よごれが40以上になったら掃除する,Clean when filth is is 40 or more,,Bei 40 oder mehr Dreck säubern,Cur??? c�nd murd?ria este 40 sau mai mult
Form36,Option3,よごれが60以上になったら掃除する,Clean when filth is is 60 or more,,Bei 60 oder mehr Dreck säubern,Cur??? c�nd murd?ria este 60 sau mai mult
Form36,Option2,よごれが80以上になったら掃除する,Clean when filth is is 80 or more,,Bei 80 oder mehr Dreck säubern,Cur??? c�nd murd?ria este 80 sau mai mult
Form36,Option1,掃除をしない,Do not clean,,Nicht säubern,Nu cur??a
Form36,Command2,やめる,Stop,,Stop,Stop
Form36,Frame2,掃除方法選択,Choose cleaning method,,Wähle Reinigungsmethode,Alege metod? de cur??are
Form36,Option8,たくさん,Clean a lot,,Viel säubern,Cur??? mult
Form36,Option7,ふつうに,Clean a normal amount,,Normal säubern,Cur??? un nivel normal
Form36,Option6,すこし,Clean only a little,,Wenig säubern,Cur??? doar pu?in
Form36,Command1,決定,OK,,OK,OK
Form36,Label1,能力,Ability,,Fähigkeit,Abilitate
Form36,Label1,気力,Willpower,,Willenskraft,Voin??
Form36,Label1,給料,Salary,,Gehalt,Salariu
Form36,Label1,年齢,Age,,Alter,V�rst?
Form36,Label1,名前,Name,,Name,Nume
Form36,Label1,能力,Ability,,Fähigkeit,Abilitate
Form36,Label1,気力,Willpower,,Willenskraft,Voin??
Form36,Label1,給料,Salary,,Gehalt,Salariu
Form36,Label1,年齢,Age,,Alter,V�rst?
Form36,Label1,名前,Name,,Name,Nume
Form36,Label3,店員の設定です ,Employee Options,,Mitarbeiter-Optionen,Op?iuni Angajat
Form37,Form37,1000人突破,Over 1000 People,,Über 1000 Leute,Peste 1000 de Persoane
Form37,Command1,閉じる,Close,,Schließen,�nchide
Form37,Label1,"お店に来たお客さんが1,000人を突破しました。","More than 1,000 customers have visited the store!",,Mehr als 1000 Leute haben den Laden besucht!,Peste 1000 de clien?i au vizitat libr?ria!
Form38,Form38,給料変更,Change salary,,Gehalt ändern,Schimb? salariu
Form38,Command2,やめる,Abort,,Abbrechen,Renun??
Form38,Command1,決定,OK,,OK,OK
Form38,Label1,21万0000円,"210,000 YEN",,210.000 Yen,210.000 YEN
Form38,Label1,給料,Salary,,Gehalt,Salariu
Form38,Label1,能力,Ability,,Fähigkeit,Abilitate
Form38,Label1,年齢,Age,,Alter,V�rst?
Form38,Label1,12歳,12 years old,,12 Jahre alt,12 ani
Form38,Label1,名前,Name,,Name,Nume
Form38,Label1,気力,Energy,,Energie,Energie
Form38,Label3,給料を変更します,Change salary,,Gehalt ändern,Schimb? salariu
Form39,Form39,お店の宣伝,Store Promotion,,Ladenwerbung,Promovare Libr?rie
